Gymnast Name,Gymnast ID,Active,Apparatus,Skill Name,Total Competed,Total Landed,Total Falls
"Adrian Östlund",8e7aac50-e5a4-4303-a825-04cfd462d481,true,trampette,"Handspring Straight 1.5",1,1,0
"Adrian Östlund",8e7aac50-e5a4-4303-a825-04cfd462d481,true,tumbling,"Roundoff Flick Double Straight 2.0",1,1,0
"Adrian Östlund",8e7aac50-e5a4-4303-a825-04cfd462d481,true,tumbling,"Straight Handspring Straight 1.5",1,1,0
"Albin Hjertberg",afde1a92-70e7-45c4-b1a6-38dde0c35eac,true,trampette,"Tripple Pike 0.5",1,0,1
"Albin Hjertberg",afde1a92-70e7-45c4-b1a6-38dde0c35eac,true,trampette,"Tripple Tuck 0.5",1,1,0
"Albin Hjertberg",afde1a92-70e7-45c4-b1a6-38dde0c35eac,true,tumbling,"Pike Handspring Double Tuck 0.5",1,1,0
"Albin Hjertberg",afde1a92-70e7-45c4-b1a6-38dde0c35eac,true,tumbling,"Roundoff Flick Double Straight",1,1,0
"Albin Hjertberg",afde1a92-70e7-45c4-b1a6-38dde0c35eac,true,tumbling,"Roundoff Flick Double Straight 1.0",1,1,0
"Albin Lundin",499ad4c3-6892-42a4-8bf2-be1e192d6271,true,trampette,"Full Full Half Tuck",4,4,0
"Albin Lundin",499ad4c3-6892-42a4-8bf2-be1e192d6271,true,trampette,"Handspring Full Half Tuck",1,1,0
"Albin Lundin",499ad4c3-6892-42a4-8bf2-be1e192d6271,true,trampette,"Handspring Straight 2.5",4,3,1
"Albin Lundin",499ad4c3-6892-42a4-8bf2-be1e192d6271,true,trampette,"Tripple Pike 0.5",5,5,0
"Albin Lundin",499ad4c3-6892-42a4-8bf2-be1e192d6271,true,trampette,"Tripple Tuck 0.5",1,1,0
"Albin Lundin",499ad4c3-6892-42a4-8bf2-be1e192d6271,true,tumbling,"Pike Handspring Double Straight 0.5",3,3,0
"Albin Lundin",499ad4c3-6892-42a4-8bf2-be1e192d6271,true,tumbling,"Pike Handspring Double Straight 1.0",1,1,0
"Albin Lundin",499ad4c3-6892-42a4-8bf2-be1e192d6271,true,tumbling,"Pike Handspring Double Tuck 1.5",1,1,0
"Albin Lundin",499ad4c3-6892-42a4-8bf2-be1e192d6271,true,tumbling,"Pike Handspring Full Half Straight",1,1,0
"Albin Lundin",499ad4c3-6892-42a4-8bf2-be1e192d6271,true,tumbling,"Pike Handspring Full Half Tuck",1,1,0
"Albin Lundin",499ad4c3-6892-42a4-8bf2-be1e192d6271,true,tumbling,"Roundoff Flick Double Straight",1,1,0
"Albin Lundin",499ad4c3-6892-42a4-8bf2-be1e192d6271,true,tumbling,"Roundoff Flick Double Straight 2.0",4,4,0
"Alejandro Jacobsen ",9b8e4a4c-c3cf-402a-aec0-e5a94ec2d4b6,true,trampette,"Full Rudy Straight",1,1,0
"Alejandro Jacobsen ",9b8e4a4c-c3cf-402a-aec0-e5a94ec2d4b6,true,trampette,"Handspring Straight 0.5",1,1,0
"Alejandro Jacobsen ",9b8e4a4c-c3cf-402a-aec0-e5a94ec2d4b6,true,trampette,"Handspring Straight 1.5",1,1,0
"Alejandro Jacobsen ",9b8e4a4c-c3cf-402a-aec0-e5a94ec2d4b6,true,tumbling,"Pike Handspring Double Straight 0.5",2,2,0
